SamplingMethod,DatasetType,NrOfPoints,Seed,SampleSize,TotalTime,RoundTimes,CoresetSize,AvgQuality,NormQuality
Grid,Noisy circle,200000,100,0,74.81,"[12.76, 8.61, 7.91, 7.74]",4,1.7053894572158959,1.4528845939669783
Ball,Noisy circle,200000,100,20.0,48.12,"[11.36, 9.9, 9.61, 9.46]",21,1.8654294178972715,1.3331834748053608
Ball,Noisy circle,200000,100,200.0,38.48,"[8.96, 8.38, 7.83, 7.75]",202,1.6099448754518175,0.5861402597294207
Ball,Noisy circle,200000,100,2000.0,38.41,"[8.51, 8.41, 8.27, 8.38]",4140,1.713423363283031,1.2492293088558277
Ball,Noisy circle,200000,100,20000.0,39.87,"[8.89, 8.06, 8.52, 8.75]",146708,1.3707566882255362,1.5483685969495624
Grid,Noisy moon,200000,100,0,37.89,"[9.51, 7.91, 7.77, 7.86]",4,2.0262567572630985,2.016845476582129
Ball,Noisy moon,200000,100,20.0,51.97,"[8.36, 14.16, 11.14, 13.55]",21,2.1554167654289094,2.1966716628844813
Ball,Noisy moon,200000,100,200.0,58.88,"[13.96, 11.26, 11.35, 13.08]",201,2.2636699912889306,2.543488847654634
Ball,Noisy moon,200000,100,2000.0,51.07,"[12.06, 8.92, 8.64, 8.9]",4000,1.859651662984405,0.4445796189413513
Ball,Noisy moon,200000,100,20000.0,41.13,"[8.99, 8.95, 8.69, 8.65]",149731,2.208927467405793,0.9106043766342737
Grid,Blobs,200000,100,0,41.13,"[9.28, 8.65, 8.4, 9.25]",6,39.96477819439847,36.07644844077151
Ball,Blobs,200000,100,20.0,36.82,"[8.44, 7.88, 7.95, 7.79]",21,33.11387494336645,1.4302322563688874
Ball,Blobs,200000,100,200.0,36.88,"[8.36, 8.01, 7.96, 7.91]",402,33.8073105659655,33.22820458677423
Ball,Blobs,200000,100,2000.0,42.95,"[11.83, 8.84, 8.43, 8.53]",8652,32.71712894321106,1.0009303043855207
Ball,Blobs,200000,100,20000.0,43.85,"[10.41, 9.18, 8.83, 8.6]",181460,33.71526841732929,12.497904597399739
Grid,Aniso,200000,100,0,40.09,"[8.85, 8.55, 8.45, 8.7]",10,11.724531301347056,6.142344689199384
Ball,Aniso,200000,100,20.0,40.37,"[8.91, 8.54, 8.76, 8.48]",21,12.545007447692603,9.636375449861058
Ball,Aniso,200000,100,200.0,39.24,"[9.38, 8.29, 7.99, 8.14]",245,11.080318559730793,6.381254506610955
Ball,Aniso,200000,100,2000.0,39.17,"[8.38, 8.43, 8.9, 8.73]",16812,10.667687564536115,6.338150886765236
Ball,Aniso,200000,100,20000.0,38.47,"[8.46, 8.62, 8.09, 8.12]",177388,8.558783849462731,5.563308613568531
Grid,varied,200000,100,0,37.85,"[8.73, 8.03, 7.98, 7.79]",261,17.28955994846889,10.00248694846923
Ball,varied,200000,100,20.0,40.18,"[9.04, 8.71, 8.85, 8.24]",323,22.170342215849256,9.585321394564259
Ball,varied,200000,100,200.0,41.84,"[8.81, 8.4, 8.05, 9.09]",1278,20.51098351158205,15.17593891962328
Ball,varied,200000,100,2000.0,41.93,"[9.45, 9.19, 8.76, 8.47]",66112,17.813510431005003,14.331346493897282
Ball,varied,200000,100,20000.0,40.48,"[9.08, 8.97, 8.88, 8.14]",200000,16.95893358415344,1.6758283905251432
