WeightingMethod,Seed,Vertices,Sparsity,WeightMin,WeightMax,NrOfCliques,SizeOfClique,NrOfCommRounds,TotalTime,RoundTimes1,RoundTimes2,RoundTimes3
UNIQUE,100,500,0.2,1,100,0,0,2,35.51,25.42,10.02,
UNIQUE,100,500,0.2,1,100,50,5,2,46.26,23.18,23.02,
UNIQUE,100,500,0.2,1,100,100,5,2,38.55,26.59,11.89,
UNIQUE,100,500,0.2,1,100,200,5,2,17.58,11.1,6.3,
UNIQUE,100,500,0.4,1,100,0,0,2,32.95,27.02,5.83,
UNIQUE,100,500,0.4,1,100,50,5,2,33.1,27.27,5.74,
UNIQUE,100,500,0.4,1,100,100,5,2,33.19,27.09,5.99,
UNIQUE,100,500,0.4,1,100,200,5,2,33.61,27.45,5.99,
UNIQUE,100,500,0.6,1,100,0,0,2,74.22,68.04,6.07,
UNIQUE,100,500,0.6,1,100,50,5,2,78.7,71.86,6.72,
UNIQUE,100,500,0.6,1,100,100,5,2,144.85,137.63,7.09,
UNIQUE,100,500,0.6,1,100,200,5,2,169.22,161.29,7.63,
UNIQUE,100,500,0.8,1,100,0,0,3,337.32,316.58,8.55,11.97
UNIQUE,100,500,0.8,1,100,50,5,3,295.38,279.5,8.1,7.6
UNIQUE,100,500,0.8,1,100,100,5,3,269.61,254.82,7.43,7.16
UNIQUE,100,500,0.8,1,100,200,5,2,268.31,260.38,7.64,
UNIQUE,100,500,1,1,100,0,0,3,276.97,265.2,5.92,5.68
UNIQUE,100,500,1,1,100,50,5,3,282.99,271.23,5.95,5.63
UNIQUE,100,500,1,1,100,100,5,3,278.93,267.06,5.98,5.71
UNIQUE,100,500,1,1,100,200,5,2,275.9,269.8,5.87,
UNIQUE_REVERSED,100,500,0.2,1,100,0,0,2,16.27,10.45,5.78,
UNIQUE_REVERSED,100,500,0.2,1,100,50,5,2,16.33,10.47,5.82,
UNIQUE_REVERSED,100,500,0.2,1,100,100,5,2,16.33,10.49,5.78,
UNIQUE_REVERSED,100,500,0.2,1,100,200,5,2,16.6,10.69,5.79,
UNIQUE_REVERSED,100,500,0.4,1,100,0,0,2,32.93,27.07,5.78,
UNIQUE_REVERSED,100,500,0.4,1,100,50,5,2,33.04,27.08,5.89,
UNIQUE_REVERSED,100,500,0.4,1,100,100,5,2,32.5,26.65,5.77,
UNIQUE_REVERSED,100,500,0.4,1,100,200,5,2,33.95,28.04,5.77,
UNIQUE_REVERSED,100,500,0.6,1,100,0,0,2,72.1,66.1,5.88,
UNIQUE_REVERSED,100,500,0.6,1,100,50,5,2,72.94,67,5.83,
UNIQUE_REVERSED,100,500,0.6,1,100,100,5,2,71.13,65.05,5.93,
UNIQUE_REVERSED,100,500,0.6,1,100,200,5,2,74.77,68.76,5.83,
UNIQUE_REVERSED,100,500,0.8,1,100,0,0,3,155.33,143.58,5.86,5.74
UNIQUE_REVERSED,100,500,0.8,1,100,50,5,3,158.23,146.52,5.86,5.71
UNIQUE_REVERSED,100,500,0.8,1,100,100,5,3,157.04,145.29,5.98,5.63
UNIQUE_REVERSED,100,500,0.8,1,100,200,5,2,155.19,149.03,5.94,
UNIQUE_REVERSED,100,500,1,1,100,0,0,3,277.69,265.94,5.91,5.67
UNIQUE_REVERSED,100,500,1,1,100,50,5,3,280.12,268.22,5.97,5.74
UNIQUE_REVERSED,100,500,1,1,100,100,5,3,278.58,266.82,5.87,5.71
UNIQUE_REVERSED,100,500,1,1,100,200,5,2,279.68,273.59,5.85,
INCIDENT_EDGES_THE_SAME,100,500,0.2,1,100,0,0,2,16.41,10.67,5.7,
INCIDENT_EDGES_THE_SAME,100,500,0.2,1,100,50,5,2,16.49,10.81,5.64,
INCIDENT_EDGES_THE_SAME,100,500,0.2,1,100,100,5,2,16.56,10.82,5.66,
INCIDENT_EDGES_THE_SAME,100,500,0.2,1,100,200,5,2,17.3,11.34,5.79,
INCIDENT_EDGES_THE_SAME,100,500,0.4,1,100,0,0,2,33.51,27.15,6.26,
INCIDENT_EDGES_THE_SAME,100,500,0.4,1,100,50,5,2,33.52,27.55,5.89,
INCIDENT_EDGES_THE_SAME,100,500,0.4,1,100,100,5,2,33.24,27.31,5.84,
INCIDENT_EDGES_THE_SAME,100,500,0.4,1,100,200,5,2,34.4,28.51,5.68,
INCIDENT_EDGES_THE_SAME,100,500,0.6,1,100,0,0,2,73.77,67.91,5.75,
INCIDENT_EDGES_THE_SAME,100,500,0.6,1,100,50,5,2,74.49,68.53,5.85,
INCIDENT_EDGES_THE_SAME,100,500,0.6,1,100,100,5,2,73.18,67.07,5.96,
INCIDENT_EDGES_THE_SAME,100,500,0.6,1,100,200,5,2,73.99,67.98,5.78,
INCIDENT_EDGES_THE_SAME,100,500,0.8,1,100,0,0,3,154.5,142.81,5.85,5.68
INCIDENT_EDGES_THE_SAME,100,500,0.8,1,100,50,5,3,159.78,148.08,5.72,5.83
INCIDENT_EDGES_THE_SAME,100,500,0.8,1,100,100,5,3,157.31,145.52,6,5.63
INCIDENT_EDGES_THE_SAME,100,500,0.8,1,100,200,5,2,154.59,148.37,5.96,
INCIDENT_EDGES_THE_SAME,100,500,1,1,100,0,0,3,277.51,265.85,5.87,5.61
INCIDENT_EDGES_THE_SAME,100,500,1,1,100,50,5,3,283.21,271.32,6.06,5.64
INCIDENT_EDGES_THE_SAME,100,500,1,1,100,100,5,3,281.36,269.36,6.09,5.7
INCIDENT_EDGES_THE_SAME,100,500,1,1,100,200,5,2,277.53,271.33,5.9,
INCIDENT_EDGES_THE_SAME_REVERSED,100,500,0.2,1,100,0,0,2,16.55,10.71,5.8,
INCIDENT_EDGES_THE_SAME_REVERSED,100,500,0.2,1,100,50,5,2,16.48,10.58,5.84,
INCIDENT_EDGES_THE_SAME_REVERSED,100,500,0.2,1,100,100,5,2,16.55,10.69,5.79,
